,Efficiency
0,0.0
1,2.16
2,6.25
3,6.47
4,17.14
5,25.19
6,33.06
7,41.6
8,45.06
9,49.78
10,48.0
11,44.99
12,41.94
13,39.19
14,36.74
15,34.58
16,32.66
17,30.94
18,29.39
