Wind speed m/s,output(kW)
0,0
3,2.2
4,8.5
5,11.0
6,35.0
7,60.0
8,90.0
9,127.4
10,153.3
11,186.3
12,196.0
13,199.0
14,199.8
15,200.0
16,200.0
17,200.0
18,200.0
19,200.0
20,200.0
