,Efficiency
0,0.0
1,3.53
2,10.22
3,10.58
4,28.05
5,41.22
6,54.1
7,68.08
8,73.73
9,81.45
10,78.55
11,73.62
12,68.64
13,64.12
14,60.12
15,56.58
16,53.44
17,50.62
18,48.09
